Product Name,Price
Fresh Harvest Calamari Rings 500g,"Rs 4,660.00"
Eh Chicken Sausages 500g,"Rs 1,530.00"
Emborg Cheese Shredded Mozzarella 200g,"Rs 1,320.00"
Alerics I/C Strawberry Lime Fresh Pop 6 Pack 200g,"Rs 1,000.00"
Alerics Ice Cream Salted Caramel & Honeycomb 1L,"Rs 1,350.00"
Krest Chicken Nuggets 240g,Rs 750.00
Ben & Jerry's I/C Cookie Dough 465ml,"Rs 5,990.00"
Yara Frozen Grated Coconut 600g,Rs 750.00
Sumeru Flaky Paratha 300g,"Rs 1,100.00"
Fresh Harvest Breaded Calamari Rings 300g,"Rs 3,130.00"
Bairaha Marinated Chicken Wings 500g,Rs 752.00 / Unit
Gills Chicken Sausages Lingus 200g,Rs 685.00
Elephant House Pork Gammon Steak 500g,"Rs 2,920.00"
Damaco Foods Pangasius Fillet 1kg,"Rs 1,390.00"
Crescent Crispy Chicken Burger 360g,Rs 825.00
Krest Sausage Meat Chicken 400g,Rs 845.00
Jagro Frozen Strawberries 1kg,"Rs 2,500.00"
Crizzpy's Bestys Chicken Strips 500g,"Rs 1,665.00"
Sumeru Sweet Corn 500g,"Rs 1,120.00"
Sumeru Green Peas 500g,"Rs 1,100.00"
Sumeru Vegetable Momos 200g,"Rs 1,250.00"
Finagle Godamba Roti 500g,Rs 598.00 / Unit
Emborg Broccoli 450g,"Rs 1,490.00"
Sumeru Naan  Garlic 340g,"Rs 1,590.00"
Keells Vegan Burger Patty 220g,"Rs 1,170.00"
Keells Parata Onion 5S 350g,Rs 520.00
Andrew Pork Sausg Roastd Garlic 250g,Rs 900.00
Krest Crispy Chicken Thighs 650g,"Rs 2,100.00"
Andrew Sausage Pork Lingus 250g,Rs 890.00
Andrew Sausage Chicken Garlic 250g,Rs 720.00
Elephant House Ice Cubes 1kg,Rs 300.00
Alerics Ice Cream Butter Scotch 1L,"Rs 1,350.00"
Imorich French Vanilla 1L,"Rs 1,190.00"
Mdk Koththu Roti 1kg,Rs 600.00
Imorich I/C Rocky Road 1L,Rs 935.00 / Unit
Crescent Fish Goujons 240g,"Rs 1,220.00"
Jagro Frozen Strawberries 500g,"Rs 1,750.00"
Keells Chicken Samosa 300G 8S,Rs 590.00
Fresh Harvest Prawns Full Cleaned Large 500g,"Rs 4,545.00"
Eh I/C Chocolate 4L,"Rs 2,100.00"
Keells Vegetable Patties 10 Pieces 280g,Rs 545.00
Fresh Harvest Handella 500g,"Rs 2,715.00"
Fresh Harvest Crab Meat 500g,"Rs 6,375.00"
Elephant House Spicy Pork Sausages 300g,"Rs 1,250.00"
Krest Chicken Sausages Nai Miris 250g,Rs 675.00
Supersun Vegetable Meatless Cube 200g,Rs 998.00
Alerics I/C Dark Chocolate 1L,"Rs 1,750.00"
Emborg Blueberries 400g,"Rs 2,695.00"
Emborg Raspberries 300g,"Rs 3,250.00"
Emborg Strawberries 450g,"Rs 1,690.00"
Norwegian Frozen Salmon Smoked 100g,"Rs 2,600.00"
Elephant House Chicken Sausages Jalapeno 200g,"Rs 1,160.00"
Lihini Sea Food Fish Sausages Smoked 200g,Rs 710.00
Lihini Sea Food Fish Sausages Nai Miris 200g,Rs 640.00
Sumeru Paneer Butter Masala Curry 300g,"Rs 1,470.00"
Pussalla Pork Garlic Sausage 400g,"Rs 1,400.00"
Lapmc Ambaralla Frozen Cut 400g,Rs 740.00
Lapmc Wood Apple Frozen Cut 400g,"Rs 1,380.00"
Eh I/C Siyambala & Honey 60ml,Rs 80.00
Eh I/C Vegan Passion 320ml,Rs 450.00
Eh Frozen Yoghurt Mango 320ml,Rs 390.00
Eh Frozen Yoghurt Mixed Berry 320ml,Rs 450.00
Eh I/C Passion Fruit 900ml,Rs 671.00 / Unit
Magic I/C Divine Slice 1L,"Rs 1,500.00"
Eh Faluda I/C Ramadan Multipack 480g,Rs 480.00
Eh I/C Pani Kurumba 900ml,Rs 790.00
Crescent Ramadan Assorted Pack 1.47kg,"Rs 3,500.00"
Yara Natural Pol Sambol 100g,Rs 270.00
Keells Mini Seeni Sambol Bun 10S 500g,Rs 770.00
Imorich I/C Red Velvet 1L,"Rs 1,500.00"
Fresh Harvest Sailfish Cubes 500g,"Rs 3,100.00"
Gadre Imitation Crab Claw 250g,Rs 615.00
United Fish Co Greenshell Wholeshell Mussels 1kg,"Rs 1,700.00"
Alerics I/C Pineapple Chili 06,Rs 770.00
Krest Sausg 500G+Drumstick 300G Bundle,"Rs 1,880.00"
Gills Chicken Sausages Karapincha 200g,Rs 685.00
Krest Chicken Sausages 350g,Rs 800.00
Crescent Chicken Sathes 300g,"Rs 1,415.00"
Cuisine Gastronme Milk Rice W/ Ambulthial 350g,"Rs 1,115.00"
Cuisine Gastronme Seafood Koththu 400g,"Rs 1,460.00"
Cuisine Gastronme Half Cut Sri Lankan Blue Swimmer Crab Curry 380g,"Rs 1,845.00"
Andrew Sausg Chic Chees & Onion 250g,Rs 720.00
Andrew Premium Pork Sausages 250g,Rs 850.00
Finagle Ciabatta 250g,Rs 337.00 / Unit
Finagle Focaccia Bread 200g,Rs 360.00
Elephant House Lingus 500g,"Rs 2,090.00"
Mk Ghee Poori 330G 6Pc Pack,Rs 545.00
Sumeru Jeera Paratha 300g,"Rs 1,100.00"
Keells Meatless Vege Cube 160g,Rs 998.00
Eh I/C Mix Of Popsicles 6S 360ml,Rs 690.00
Sumeru Naan Plain 340g,"Rs 1,550.00"
Ben & Jerry's Choc Fudge Brownie 465ml,"Rs 5,990.00"
Cadbury Dairy Milk Ice Cream Tub 480ml,"Rs 4,990.00"
Eh Weiswurst Sausage 250g,Rs 950.00
Magic Heavenly Almond Nougat 500Ml,Rs 780.00
Fresh Harvest Cuttlefish Cones 1kg,"Rs 3,365.00"
Emborg Crinkle Cut French Fries 1kg,"Rs 2,150.00"
Family Choice Tortilla 10S,Rs 930.00
Fresh Harvest Cut Crab Block 720g,"Rs 4,515.00"
Magnum Mint Ice Cream 100ml,Rs 590.00
Premero Chicken Kottu 280g,Rs 750.00
Premero Cheese Kottu 280g,Rs 750.00
Easy Meals Bread Crumbed Prawn 195g,"Rs 1,190.00"
Mars I/C Chocolate Caramel 4 X 51ml,"Rs 2,990.00"
Fresh Harvest Cured Salmon 200g,"Rs 4,840.00"
Fresh Harvest Tuna Steaks 500g,"Rs 3,050.00"
Fresh Harvest Seer Steaks 500g,"Rs 4,150.00"
