Product Name,Price
Raigam Soya Meat Chicken 90g,Rs 170.00
Arunalu Dry Fish Seer 200g,"Rs 1,500.00"
Hope Chocolate Chip Cookies 90g,Rs 370.00
Prima Kottu Mee Chicken Noodles 78G,Rs 130.00
Nature Turmeric Powder 100g,Rs 500.00
Mikee Milk Toffee 200g,Rs 800.00
Renuka Coconut Milk Powder 1kg,"Rs 3,500.00"
Munchee Nice Biscuit 400g,Rs 430.00
Harischandra String Hopp.Flour Red 700g,Rs 250.00
Keells Green Gram Dhal 500g,"Rs 1,290.00"
Snickers Chocolate 50g,Rs 400.00
Mccurrie Cinnamon Quills 50g,Rs 630.00
Maliban Chick Bits Biscuit 80g,Rs 190.00
Keells White Cowpea 500g,Rs 950.00
Oateo Oats Steel Cut 500g,Rs 899.00
Tong Garden Sunflower Seeds Salted 30g,Rs 295.00
Ritzbury Chit Chat Chocolate 18g,Rs 50.00
Maggi Coconut Milk Powder Sachet 25g,Rs 110.00
Harischandra Rice Flour 400g,Rs 150.00
Supreme Sprats Ready To Cook 200g,"Rs 1,040.00"
Bcc White Coconut Oil Bottle 500ml,Rs 995.00
Munchee Chocolate Cream Biscuit 100G,Rs 130.00
Ma's Jaffna Curry Powder 100g,Rs 480.00
Keells Orid Seeds 500g,Rs 730.00
Kandos Promises 200g,"Rs 1,250.00"
Rancrisp Potato Chips Hot & Spicy 60g,Rs 330.00
Rancrisp Cassava Chips Hot & Spicy 100g,Rs 300.00
Koluu Kalupol Powder 80g,Rs 480.00
Maggi Noodles Papare Blast 75g,Rs 120.00
Prima Stella Instant Noodles Vegetable 74G,Rs 130.00
Maliban Chickbits Biscuit 30g,Rs 50.00
Maliban Milk Short Cake Biscuit 200g,Rs 172.00 / Unit
Maliban Chocolate Wafers 225g,Rs 300.00
Maliban Krisco Bites Biscuit 30g,Rs 50.00
Maliban Cheese Bits Biscuit 25g,Rs 50.00
Kist Chocky Magic Vanilla Biscuit 170g,Rs 390.00
Sab Dried Katta 200g,"Rs 1,100.00"
Keells Marie Biscuit 330g,Rs 243.00 / Unit
Revello Milk Chocolate 25g,Rs 230.00
Pastarina Penne Rigate Pasta 500g,Rs 630.00
Kettle Studio Mature Cheddar & Red Onions 56G,Rs 380.00
Kandos Choconut Cashewnut 160g,"Rs 1,400.00"
Pink Suduru Samba Rice Bulk Kg - Local,Rs 435.00
